district,month,price,available_lid
Allston/Brighton,1,122.72038834951456,122
Allston/Brighton,2,124.28202764976959,119
Allston/Brighton,3,121.94714926329276,120
Allston/Brighton,4,123.88888888888889,103
Allston/Brighton,5,120.4049284049284,102
Allston/Brighton,6,123.98180592991913,102
Allston/Brighton,7,124.34519921619857,100
Allston/Brighton,8,121.89841986455981,104
Allston/Brighton,9,119.3277108433735,157
Allston/Brighton,10,116.4017130620985,119
Allston/Brighton,11,120.10952380952381,126
Allston/Brighton,12,125.312079461711,139
Back Bay/Beacon Hill,1,227.80331548955274,202
Back Bay/Beacon Hill,2,224.4219801980198,190
Back Bay/Beacon Hill,3,241.42968902796792,182
Back Bay/Beacon Hill,4,294.2484049340706,168
Back Bay/Beacon Hill,5,287.64905979294315,159
Back Bay/Beacon Hill,6,279.1569828861187,162
Back Bay/Beacon Hill,7,301.13249848515454,164
Back Bay/Beacon Hill,8,300.48113964686996,163
Back Bay/Beacon Hill,9,303.61131763733994,234
Back Bay/Beacon Hill,10,310.443413729128,227
Back Bay/Beacon Hill,11,253.9737317024263,226
Back Bay/Beacon Hill,12,233.21438596491228,228
Central,1,225.05832076420313,136
Central,2,220.95298528987598,127
Central,3,221.79474940334129,126
Central,4,271.07325157441164,116
Central,5,264.2554657082959,112
Central,6,281.32966360856267,112
Central,7,298.7923985027354,115
Central,8,307.0284106891702,116
Central,9,314.94045801526715,177
Central,10,314.55125448028673,164
Central,11,257.3987373737374,166
Central,12,238.58021591765,156
Charlestown,1,229.9253164556962,29
Charlestown,2,226.7016129032258,31
Charlestown,3,231.67148488830486,30
Charlestown,4,242.9686684073107,29
Charlestown,5,243.49431099873578,27
Charlestown,6,253.1558784676354,28
Charlestown,7,266.0831265508685,27
Charlestown,8,269.7692307692308,27
Charlestown,9,244.328320802005,38
Charlestown,10,246.61851851851853,32
Charlestown,11,236.73772609819122,35
Charlestown,12,246.48821989528795,36
East Boston,1,134.05113336847654,67
East Boston,2,133.63783160322953,64
East Boston,3,138.26699293094072,64
East Boston,4,155.88091168091168,62
East Boston,5,138.66996699669966,61
East Boston,6,139.01222222222222,62
East Boston,7,134.91778613648577,62
East Boston,8,134.7364756293519,62
East Boston,9,137.1351598173516,88
East Boston,10,132.46824408468245,84
East Boston,11,129.77464788732394,81
East Boston,12,132.49116229244777,81
Fenway/Kenmore,1,179.29141607435758,64
Fenway/Kenmore,2,176.88253382533824,60
Fenway/Kenmore,3,160.85294117647058,59
Fenway/Kenmore,4,168.3577906018137,45
Fenway/Kenmore,5,145.56850393700788,45
Fenway/Kenmore,6,148.4505928853755,44
Fenway/Kenmore,7,152.10557184750732,46
Fenway/Kenmore,8,149.63532763532763,48
Fenway/Kenmore,9,283.96219621962194,91
Fenway/Kenmore,10,286.16268844221105,77
Fenway/Kenmore,11,227.30029732408326,82
Fenway/Kenmore,12,193.6403607666291,79
Hyde Park,1,79.456,11
Hyde Park,2,85.6695278969957,10
Hyde Park,3,70.36651583710407,9
Hyde Park,4,78.22374429223744,9
Hyde Park,5,73.71428571428571,10
Hyde Park,6,86.9037037037037,10
Hyde Park,7,86.88888888888889,10
Hyde Park,8,86.90322580645162,10
Hyde Park,9,82.01020408163265,14
Hyde Park,10,77.58922558922559,15
Hyde Park,11,71.23051948051948,13
Hyde Park,12,81.11627906976744,13
Jamaica Plain,1,136.8398195149464,123
Jamaica Plain,2,134.99365367180417,123
Jamaica Plain,3,137.97984356197352,123
Jamaica Plain,4,135.8939494680851,106
Jamaica Plain,5,136.5152097342299,107
Jamaica Plain,6,139.18791946308724,107
Jamaica Plain,7,139.80493133583022,109
Jamaica Plain,8,137.48426150121065,109
Jamaica Plain,9,155.55729537366548,143
Jamaica Plain,10,161.3135547087643,115
Jamaica Plain,11,136.2364217252396,144
Jamaica Plain,12,137.73274074074075,145
Mattapan,1,71.03225806451613,15
Mattapan,2,72.69565217391305,15
Mattapan,3,75.03151862464183,14
Mattapan,4,75.52727272727273,12
Mattapan,5,75.00879765395895,12
Mattapan,6,75.52727272727273,12
Mattapan,7,75.40762463343108,12
Mattapan,8,75.00879765395895,12
Mattapan,9,69.26130653266331,16
Mattapan,10,65.3890410958904,14
Mattapan,11,67.72619047619048,15
Mattapan,12,67.40503432494279,16
North Dorchester,1,89.04377311960542,57
North Dorchester,2,87.94680851063829,55
North Dorchester,3,88.51342501637197,57
North Dorchester,4,101.1120984278879,52
North Dorchester,5,103.04961832061069,52
North Dorchester,6,113.53202614379084,52
North Dorchester,7,116.32528589580686,52
North Dorchester,8,114.65654648956357,52
North Dorchester,9,109.09486780715396,64
North Dorchester,10,96.29338842975207,57
North Dorchester,11,94.51537884471118,61
North Dorchester,12,92.30046948356808,59
Roslindale,1,100.9812108559499,49
Roslindale,2,101.84504913076341,49
Roslindale,3,106.1905138339921,48
Roslindale,4,112.5125977410947,41
Roslindale,5,108.27029288702929,40
Roslindale,6,109.63270547945206,40
Roslindale,7,108.69982993197279,40
Roslindale,8,109.07935153583618,39
Roslindale,9,113.74864864864865,58
Roslindale,10,98.60940499040306,52
Roslindale,11,106.92546583850931,50
Roslindale,12,106.78113485630067,53
Roxbury,1,132.41192170818505,76
Roxbury,2,136.23232323232324,77
Roxbury,3,132.43395278754394,75
Roxbury,4,137.5139634801289,67
Roxbury,5,133.45286993154292,64
Roxbury,6,132.76559020044544,63
Roxbury,7,134.58724832214764,60
Roxbury,8,134.4709784411277,61
Roxbury,9,119.94644696189495,86
Roxbury,10,112.08909574468085,79
Roxbury,11,129.36100196463653,78
Roxbury,12,139.47472059606173,83
South Boston,1,220.52432244614315,101
South Boston,2,212.06949960285942,93
South Boston,3,218.8272373540856,95
South Boston,4,247.59975010412327,84
South Boston,5,249.9012,83
South Boston,6,250.959670781893,82
